Test,Original_rho_or_H,Original_p,Unique_rho_or_H,Unique_p,Survives
Emission vs Eccentricity,0.21,2.1e-08,0.33,5.5e-03,Yes
Emission vs Minor Axis,-0.29,6.3e-15,-0.42,2.5e-04,Yes
Emission vs Circularity,-0.2,5.3e-08,-0.37,1.7e-03,Yes
QY vs B-Factor Ratio,-0.49,7.9e-18,-0.76,1.0e-03,Yes
Emission vs B-Factor Ratio,0.4,4.0e-25,0.49,2.3e-05,Yes
|τ|+|φ| vs Emission,0.14,1.4e-03,0.35,6.0e-03,Yes
KW Eccentricity by Color,67.9,2.8e-13,,0.025,Yes
KW Minor Axis by Color,87.3,2.5e-17,,0.013,Yes
KW Circularity by Color,70.8,6.8e-14,,0.014,Yes
MW Eccentricity (chrom vs no-chrom),,0.011,,0.17,No
MW Circularity (chrom vs no-chrom),,0.0017,,0.58,No
MW Minor Axis (chrom vs no-chrom),,8.2e-04,,0.003,Yes
