Variant,Metric,Pearson_r,Spearman_rho,Mean_pct_change
1.5 Å slice,Area,0.981,0.91,-4.5
1.5 Å slice,Eccentricity,0.84,0.867,-1.9
1.5 Å slice,Circularity,0.932,0.845,-0.3
1.5 Å slice,Minor Axis,0.96,0.941,-0.9
1.5 Å slice,Major Axis,0.971,0.854,-1.3
2.5 Å slice,Area,0.989,0.959,4.6
2.5 Å slice,Eccentricity,0.95,0.938,-1.0
2.5 Å slice,Circularity,0.86,0.857,0.6
2.5 Å slice,Minor Axis,0.985,0.966,1.3
2.5 Å slice,Major Axis,0.976,0.881,1.0
Backbone only,Area,0.882,0.808,-16.7
Backbone only,Eccentricity,0.721,0.726,8.3
Backbone only,Circularity,0.654,0.63,-2.6
Backbone only,Minor Axis,0.902,0.844,-5.7
Backbone only,Major Axis,0.89,0.639,-3.0
