geometry_var,correlate_var,rho,p_value,n,significant,highly_significant
barrel_length,seq_length,0.7329379298633539,1.4987434986831184e-148,877,True,True
barrel_length,eigenvalue_ratio,0.6150436690912205,2.1838881163815228e-92,877,True,True
minor_axis,seq_length,0.48820907962512405,1.0212174101664616e-53,877,True,True
n_atoms,seq_length,0.4232636860284493,1.9582910259008914e-39,877,True,True
convex_area,seq_length,0.3814940482886724,9.164486449837914e-32,877,True,True
minor_axis,b_factor_ratio,-0.3960862445290278,2.1103369173998642e-30,772,True,True
n_atoms,r_factor,-0.31965084700904517,3.2647301480454607e-22,874,True,True
minor_axis,eigenvalue_ratio,0.3039749028020529,3.3259975587058614e-20,877,True,True
convex_area,b_factor_ratio,-0.31620350229158906,2.187154477775399e-19,772,True,True
n_atoms,resolution,-0.2764636097105061,7.516064123308433e-17,877,True,True
convex_area,chrom_b_factor,-0.2841798733813804,8.303020093462058e-16,772,True,True
n_atoms,b_factor_ratio,-0.2841345587269025,8.394357939026645e-16,772,True,True
major_axis,seq_length,0.2670093036479226,8.806419440788076e-16,877,True,True
minor_axis,chrom_contacts,-0.2778063876353153,3.7933701577653964e-15,772,True,True
minor_axis,em_max,-0.2895229074204314,6.313896217896827e-15,697,True,True
convex_area,r_factor,-0.2478336210865919,1.0648565353151927e-13,874,True,True
minor_axis,lit_ec,-0.3949591550358704,3.060445960882566e-13,316,True,True
minor_axis,ex_max,-0.26905908954926405,5.03878434786181e-13,697,True,True
convex_area,resolution,-0.23905602564307257,7.304332739009217e-13,877,True,True
compactness,resolution,-0.23760545639559444,1.0125412679122617e-12,877,True,True
circularity,resolution,-0.23760545639559444,1.0125412679122617e-12,877,True,True
circularity,r_factor,-0.2251025906334313,1.6748890725771652e-11,874,True,True
compactness,r_factor,-0.2251025906334313,1.6748890725771652e-11,874,True,True
n_atoms,chrom_b_factor,-0.23699330677805772,2.56846018861422e-11,772,True,True
convex_area,mean_b_ca,-0.2203778020866402,4.1593320403556346e-11,877,True,True
convex_area,barrel_b_factor,-0.21352944422153694,1.677401566353331e-10,877,True,True
compactness,chrom_b_factor,-0.22453896017925018,2.8008642439864813e-10,772,True,True
circularity,chrom_b_factor,-0.22453896017925018,2.8008642439864813e-10,772,True,True
barrel_length,b_factor_ratio,-0.2173137429082061,1.0519991969722363e-09,772,True,True
barrel_length,lit_ec,-0.3308794265698582,1.6477236897838609e-09,316,True,True
circularity,eigenvalue_ratio,0.20115018909442386,1.8559784009920484e-09,877,True,True
compactness,eigenvalue_ratio,0.20115018909442386,1.8559784009920484e-09,877,True,True
compactness,ex_max,-0.21765110828223222,6.414388483997606e-09,697,True,True
circularity,ex_max,-0.21765110828223222,6.414388483997606e-09,697,True,True
convex_area,n_waters,0.19411836456459136,6.804729628059568e-09,877,True,True
minor_axis,chrom_b_factor,-0.20512192653159148,8.855055078482473e-09,772,True,True
n_atoms,mean_b_ca,-0.19227304602793377,9.49434105495944e-09,877,True,True
barrel_length,mean_b_ca,0.19218460772821802,9.64632683893104e-09,877,True,True
aspect_ratio,ex_max,0.2138481119020339,1.1861551546960744e-08,697,True,True
eccentricity,ex_max,0.2138481119020339,1.1861551546960744e-08,697,True,True
barrel_length,barrel_b_factor,0.19044557040631416,1.3162175770521183e-08,877,True,True
barrel_length,mean_b_factor,0.19040577860134839,1.3255656704604571e-08,877,True,True
convex_area,mean_b_factor,-0.19035833188112872,1.3367962781003537e-08,877,True,True
eccentricity,em_max,0.21019435134991707,2.1185482073311634e-08,697,True,True
aspect_ratio,em_max,0.21019435134991707,2.1185482073311634e-08,697,True,True
compactness,b_factor_ratio,-0.1981325952272698,2.8355947815018453e-08,772,True,True
circularity,b_factor_ratio,-0.1981325952272698,2.8355947815018453e-08,772,True,True
n_atoms,chrom_contacts,0.19799469435451517,2.900252431307328e-08,772,True,True
circularity,mean_b_ca,-0.18532596707020965,3.231492803432377e-08,877,True,True
compactness,mean_b_ca,-0.18532596707020965,3.231492803432377e-08,877,True,True
circularity,em_max,-0.20427960558050304,5.300234084235899e-08,697,True,True
compactness,em_max,-0.20427960558050304,5.300234084235899e-08,697,True,True
eccentricity,chrom_b_factor,0.19336202913999592,6.128151845763989e-08,772,True,True
aspect_ratio,chrom_b_factor,0.19336202913999592,6.128151845763989e-08,772,True,True
n_atoms,barrel_b_factor,-0.17996163491358239,8.064412800251441e-08,877,True,True
minor_axis,lit_qy,0.29206732766582133,1.2430483065840617e-07,316,True,True
compactness,barrel_b_factor,-0.17558028108654858,1.6682170462357768e-07,877,True,True
circularity,barrel_b_factor,-0.17558028108654858,1.6682170462357768e-07,877,True,True
aspect_ratio,lit_ec,0.28230610693360875,3.349135921081525e-07,316,True,True
eccentricity,lit_ec,0.28230610693360875,3.349135921081525e-07,316,True,True
eccentricity,mean_b_ca,0.16750669628976558,6.075927684802097e-07,877,True,True
aspect_ratio,mean_b_ca,0.16750669628976558,6.075927684802097e-07,877,True,True
compactness,mean_b_factor,-0.1669631493670541,6.613989040273681e-07,877,True,True
circularity,mean_b_factor,-0.1669631493670541,6.613989040273681e-07,877,True,True
eccentricity,barrel_b_factor,0.16503996496663906,8.910456258740108e-07,877,True,True
